[23 Sep 2020 06:40:46.316]  |void clearFilesTask() Method successfully executed within 57 milisecond.
[23 Sep 2020 06:40:49.683]  |void ActionGUIInit(List tabs) Method from <init>[ActionGUI.java:74] called with [[Bug]] at 2020-09-23 18:40:49.683
[23 Sep 2020 06:40:49.840]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method from <init>[BugPanel.java:90] called with [javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@45b52f28,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]] at 2020-09-23 18:40:49.839
[23 Sep 2020 06:40:49.843]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method successfully executed within 4 milisecond.
[23 Sep 2020 06:40:49.848]  |	 void stateChanged(ChangeEvent arg0) Method from fireStateChanged[null:-1] called with [javax.swing.event.ChangeEvent[source=javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@45b52f28,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]]] at 2020-09-23 18:40:49.848
[23 Sep 2020 06:40:49.848]  |	 	 void loadMenu() Method from stateChanged[ActionGUI.java:561] called with [] at 2020-09-23 18:40:49.848
[23 Sep 2020 06:40:50.095]  |	 	 	 void setPlaceholder(String s) Method from loadMenu[BugPanel.java:164] called with [ Search...] at 2020-09-23 18:40:50.094
[23 Sep 2020 06:40:50.096]  |	 	 	 void setPlaceholder(String s) Method successfully executed within 0 milisecond.
[23 Sep 2020 06:40:50.473]  |	 	 void loadMenu() Method successfully executed within 625 milisecond.
[23 Sep 2020 06:40:50.473]  |	 	 void loadBugs() Method from stateChanged[ActionGUI.java:562] called with [] at 2020-09-23 18:40:50.473
[23 Sep 2020 06:40:50.587]  |	 	 	 void showIssues(String state) Method from loadBugs[BugPanel.java:665] called with [all] at 2020-09-23 18:40:50.587
[23 Sep 2020 06:40:50.589]  |	 	 	 void showIssues(String state) Method successfully executed within 1 milisecond.
[23 Sep 2020 06:40:50.589]  |	 	 void loadBugs() Method successfully executed within 116 milisecond.
[23 Sep 2020 06:40:50.591]  |	 void stateChanged(ChangeEvent arg0) Method successfully executed within 742 milisecond.
[23 Sep 2020 06:40:50.991]  |void ActionGUIInit(List tabs) Method successfully executed within 1308 milisecond.
[23 Sep 2020 06:40:51.287]  |void setText(String text) Method from <init>[ToastMsg.java:29] called with [Please wait] at 2020-09-23 18:40:51.286
[23 Sep 2020 06:40:51.292]  |	 void setEndLocation(int x,int y) Method from setText[ToastMsg.java:37] called with [0, 0] at 2020-09-23 18:40:51.292
[23 Sep 2020 06:40:51.296]  |	 void setEndLocation(int x,int y) Method successfully executed within 4 milisecond.
[23 Sep 2020 06:40:51.317]  |void setText(String text) Method successfully executed within 31 milisecond.
[23 Sep 2020 06:40:51.318]  |void setLocation(int x,int y) Method from run[BugPanel.java:684] called with [908, 439] at 2020-09-23 18:40:51.318
[23 Sep 2020 06:40:51.320]  |void setLocation(int x,int y) Method successfully executed within 1 milisecond.
[23 Sep 2020 06:40:51.321]  |void showToast() Method from run[BugPanel.java:685] called with [] at 2020-09-23 18:40:51.321
[23 Sep 2020 06:40:51.328]  |void showToast() Method successfully executed within 7 milisecond.
[23 Sep 2020 06:40:51.368]  |StringBuilder HttpGet(String URL) Method from run[BugPanel.java:687] called with [https://api.github.com/repos/souvik-sarkar-98/CaptureEasy/issues?state=all] at 2020-09-23 18:40:51.332
[23 Sep 2020 06:40:51.408]  |	 void terminationLogic() Method from run[ToastMsg.java:94] called with [] at 2020-09-23 18:40:51.407
