[22 Sep 2020 02:16:20.132]  |void initAppProperty(JSONObject JSONObj) Method from initialize[SharedResources.java:54] called with [null] at 2020-09-22 02:16:20.112
[22 Sep 2020 02:16:20.232]  |void initAppProperty(JSONObject JSONObj) Method successfully executed within 110 milisecond.
[22 Sep 2020 02:16:20.232]  |void launch() Method from <init>[Application.java:67] called with [] at 2020-09-22 02:16:20.232
[22 Sep 2020 02:16:20.232]  |	 boolean IsEmpty(String Path) Method from launch[Application.java:90] called with [I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Temp\18393806] at 2020-09-22 02:16:20.232
[22 Sep 2020 02:16:20.232]  |	 boolean IsEmpty(String Path) Method successfully executed within 0 milisecond and returned  false.
[22 Sep 2020 02:16:20.232]  |	 int lastFileName(String dirPath) Method from launch[Application.java:93] called with [I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Temp\18393806] at 2020-09-22 02:16:20.232
[22 Sep 2020 02:16:20.242]  |	 int lastFileName(String dirPath) Method successfully executed within 10 milisecond and returned  1.
[22 Sep 2020 02:16:20.263]  |	 void SensorGUIInit() Method from <init>[SensorGUI.java:84] called with [] at 2020-09-22 02:16:20.263
[22 Sep 2020 02:16:20.806]  |	 void SensorGUIInit() Method successfully executed within 543 milisecond.
[22 Sep 2020 02:16:20.826]  |void launch() Method successfully executed within 594 milisecond.
[22 Sep 2020 02:16:20.836]  |void clearFilesTask() Method from run[Application.java:135] called with [] at 2020-09-22 02:16:20.836
[22 Sep 2020 02:16:20.836]  |void clearFilesTask() Method successfully executed within 0 milisecond.
[22 Sep 2020 02:16:20.856]  |void removeTempFiles(File dir,long min) Method from run[Library.java:800] called with [I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Temp\18393806, 30] at 2020-09-22 02:16:20.856
[22 Sep 2020 02:16:20.856]  |void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[22 Sep 2020 02:16:20.856]  |void removeTempFiles(File dir,long min) Method from run[Library.java:800] called with [I:\Eclipse-Workspace\Eclipse_Workstation\CaptureEasy\Resources\Nil\Temp\ExtractedImages, 30] at 2020-09-22 02:16:20.856
[22 Sep 2020 02:16:20.856]  |void removeTempFiles(File dir,long min) Method successfully executed within 0 milisecond.
[22 Sep 2020 02:16:23.071]  |void ActionGUIInit(List tabs) Method from <init>[ActionGUI.java:74] called with [[Bug]] at 2020-09-22 02:16:23.071
[22 Sep 2020 02:16:23.140]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method from <init>[BugPanel.java:99] called with [javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@1d0f7dc8,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]] at 2020-09-22 02:16:23.14
[22 Sep 2020 02:16:23.140]  |	 void BugPanelInit(JTabbedPane TabbledPanel) Method successfully executed within 0 milisecond.
[22 Sep 2020 02:16:23.140]  |	 void stateChanged(ChangeEvent arg0) Method from fireStateChanged[null:-1] called with [javax.swing.event.ChangeEvent[source=javax.swing.JTabbedPane[,12,13,551x324,invalid,layout=javax.swing.plaf.basic.BasicTabbedPaneUI$TabbedPaneScrollLayout,alignmentX=0.0,alignmentY=0.0,border=javax.swing.border.MatteBorder@1d0f7dc8,flags=50332008,maximumSize=,minimumSize=,preferredSize=java.awt.Dimension[width=550,height=260],haveRegistered=false,tabPlacement=LEFT]]] at 2020-09-22 02:16:23.14
[22 Sep 2020 02:16:23.140]  |	 	 void loadMenu() Method from stateChanged[ActionGUI.java:561] called with [] at 2020-09-22 02:16:23.14
[22 Sep 2020 02:16:23.210]  |	 	 	 void setPlaceholder(String s) Method from loadMenu[BugPanel.java:173] called with [ Search...] at 2020-09-22 02:16:23.21
[22 Sep 2020 02:16:23.210]  |	 	 	 void setPlaceholder(String s) Method successfully executed within 0 milisecond.
[22 Sep 2020 02:16:23.498]  |	 	 void loadMenu() Method successfully executed within 358 milisecond.
[22 Sep 2020 02:16:23.498]  |	 	 void loadBugs() Method from stateChanged[ActionGUI.java:562] called with [] at 2020-09-22 02:16:23.498
[22 Sep 2020 02:16:23.518]  |	 	 	 void showIssues(String state) Method from loadBugs[BugPanel.java:663] called with [all] at 2020-09-22 02:16:23.518
